番号,出品価格,仕入値,ASINコード,メモ
001,34720,,B003SO50ZQ,
002,49800,23100,BOBSFJH99T,
003,23720,,B09NLGKYHJ,
004,,7700,BOCJN1LXT8,
005,142,,BOD7ZLCCLN,
006,26800,15400,B082TZPCGJ,
007,30,,BODFY19G8V,
008,11800,6160,B001TOYV4M,
009,16980,9900,,汚れ掃除>元箱、説明書、USBケーブル、変換プラグ2
010,22140,14080,,ケース裏汚れ掃除USBケーブル、イヤービピース
011,37800,,B07598HLB4,
012,17800,8800,B0816L1TGC,ゴム足掃除クリの元箱、説明書、電源アダプタ
013,38700,23100,BOCCDDRF8C,
014,16800,9240,B07X2324PD,ロ美品元箱、ケース、充電ケーブル、クリーニングクロス、ポーチ
015,13720,7700,B089Q7DYJH,スレ小傷ありクリァ元箱、説明書、電源アダプタ、スタンド
016,14720,7700,BOCCLTDSZ4,ほ未使用説明書欠品元箱、スタンド、LANケーブル時寺取、電源アダプタ
017,11980,5390,B01MXSI216,
018,14600,6160,B07598HLB4,
019,,3080,B073LNY22Q,
020,19720,11550,B005ZLTVFY,
021,25800,,BOCTMQRBZY,
022,23420,13860,BOBBZVG891,
023,38700,24640,B005404P9I,
024,31720,19250,BOBQZ78CTZ,
025,,,B004WMUDMW,本体傷なし臭いあり?内箱なし外箱、説明書、7/電源アダプタ、USBケーブル、MicroSDカード2GB、SDアダプタ
026,10980,,B07Q6BWMCB,元箱、説明書11720
027,13720,6930,BO9KM14KS5,クリ静元箱、説明書、USBケーブル陵寺取得
028,37800,,B07WTGDLHD,元箱、端子キャップクリッ目立つ傷なし、綺麗、切りな中箱仕切りなし遊梱包する
029,16720,,B07WVWQS59,、、、クリ電源ケーブル、残インク内蔵-。印刷総枚数203枚。。。。。ブレ抜けなし上
030,14920,7700,BOB1Q6H9X5,USBケーブル社外USBケーブル(社外)
031,24720,13860,BOCLGV79TS,元箱、説明書クリァ、USBケーブル、パームレスト
032,31720,18000,B09RK7S13D,元箱、説明書、革ケース、プラグ
033,,8000,BOB823S1NR,18400完備、ほぼ未使用
034,13200,7000,BOD3T65VBD,ロロ美品クリ電ケース、USBケーブル、イヤービピース
035,22720,,B01CTUC8LC,単三電池2本入れて完備元箱、説明書、RCAケーブル、ンスリリHDMIケーブル、リモコン、受光器本体全体的にスレ傷多い
036,,18000,BOCDWRBWY8,
037,13899,,,一、、クリフ元箱、説明書、電源アダプタ、アナログ音声ケーブル、。。。。\|ノ自f光デジタル音声テーブル、ー充電台
038,26700,15000,BOCSKFY1Q2,クリ完備目立つ傷なし
039,17980,8000,B08QVF4K4R,元箱、説明書、USBケーブル、赤白ケーブル目立つ傷なし、美品
040,49920,,BOBDYFB176,クリ付属品チェックする目立つ傷なし
041,27800,,B07MCB1J48,本体のみ目立つ傷なしんしへ、
042,11980,6600,BOBS14XJVH,
043,99,3850,B099JXLJM4,元箱、説明書、電源アダプタ、LANケーブルリア激落で掃除
